VMUE	VMSS
19.39	29.22
18.80	38.17
15.18	36.26
13.31	29.87
17.58	30.33
12.50	21.66
23.56	21.02
24.89	27.80
15.75	25.84
23.26	20.11
18.45	14.89
21.83	25.52
19.93	36.14
12.18	8.45
8.89	7.53
5.34	12.63
8.13	20.94
11.20	24.97
14.36	25.00
18.96	32.86
16.06	28.88
16.14	29.17
17.91	30.20
14.66	32.86
18.53	38.44
18.38	33.76
14.20	26.50
14.83	28.30
6.49	13.19
9.19	14.24
6.11	19.24
13.61	14.07
14.86	15.21
13.06	17.16
12.93	24.87
9.55	13.43
16.60	31.05
22.98	35.22
20.59	27.08
18.70	23.28
18.94	20.41
15.41	23.47
20.31	27.57
25.66	25.65
25.00	25.50
21.23	31.63
21.18	19.23
17.93	16.66
15.36	15.02
19.34	15.69
23.48	21.31
17.96	24.97
12.71	21.94
5.56	20.21
15.35	23.85
19.39	19.13
15.74	21.00
19.01	18.04
22.18	10.26
15.51	8.82
15.11	10.45
11.38	12.64
11.00	12.49
14.41	12.20
6.10	11.89
9.70	12.95
10.91	14.92
9.75	17.59
4.49	18.62
14.59	20.95
11.43	31.30
20.94	41.79
12.53	32.34
8.58	40.19
11.10	24.82
18.55	20.39
9.08	17.56
7.54	21.56
8.86	18.67
13.93	26.02
16.36	15.55
13.59	13.05
13.00	26.33
13.46	30.82
23.60	12.22
29.66	23.60
28.59	29.77
28.74	43.95
36.95	38.67
34.89	32.97
30.68	41.00
33.96	44.00
38.48	43.80
34.48	39.98
34.50	34.27
30.85	31.05
32.36	28.31
27.50	32.96
31.65	28.87
29.90	26.85
29.51	18.37
30.55	21.60
34.44	29.08
28.53	26.06
37.50	18.86
35.26	19.81
36.70	16.86
30.48	11.52
20.05	8.52
27.03	7.45
24.85	5.37
13.95	3.11
10.03	4.64
13.18	7.71
11.26	13.05
12.66	17.10
13.34	21.26
15.98	21.27
15.95	18.03
10.30	17.05
9.91	17.00
4.75	20.56
10.08	20.13
12.39	17.84
10.56	20.70
6.19	13.60
10.09	11.83
13.96	8.14
18.09	12.56
4.34	11.44
12.13	14.33
15.18	12.81
11.13	11.66
10.28	19.28
21.69	18.72
13.68	14.72
12.85	11.18
15.73	12.05
7.05	10.13
9.34	18.17
14.15	12.86
12.34	8.97
11.64	8.39
13.61	11.45
9.69	10.85
7.64	9.59
5.25	7.57
10.91	3.78
21.16	22.44
25.55	21.60
38.16	19.96
29.25	20.00
29.60	20.61
22.23	16.54
21.79	15.90
28.69	13.63
24.21	15.83
24.19	20.05
29.86	19.06
31.69	22.83
31.50	28.68
27.43	27.93
25.36	30.25
30.06	38.96
32.86	43.51
34.53	43.51
29.80	35.27
32.73	37.12
32.51	42.00
28.93	43.62
25.59	36.07
25.78	32.32
19.15	41.04
22.65	37.89
27.61	28.72
23.74	29.06
25.69	32.09
23.89	31.16
25.80	31.64
25.13	31.71
21.88	31.34
24.05	37.11
30.95	37.08
26.70	31.27
27.03	27.03
16.30	20.19
14.43	17.73
19.35	13.00
22.10	21.29
26.91	12.92
14.31	11.71
15.06	14.83
20.04	11.00
16.43	11.01
16.50	12.42
12.66	11.74
13.14	13.39
4.66	10.42
15.28	11.74
25.19	13.09
21.06	10.09
13.83	9.59
15.48	9.05
13.86	9.60
13.53	9.82
14.90	10.50
16.29	9.30
16.48	12.39
20.54	13.32
18.33	23.34
15.51	28.40
20.00	32.34
22.88	39.43
27.20	35.04
32.01	38.18
15.10	33.82
21.33	34.61
23.36	35.81
23.30	29.36
16.83	38.01
21.11	32.07
26.48	29.24
19.63	31.50
27.44	33.35
32.41	40.04
26.63	32.34
26.10	23.95
32.66	28.68
36.46	25.26
35.30	18.48
35.63	14.14
32.74	15.78
33.49	21.11
30.99	28.40
23.16	33.06
21.40	35.24
18.64	22.82
16.89	17.77
18.58	18.74
18.63	23.34
9.29	28.16
5.71	21.53
13.34	11.73
14.38	14.44
21.10	26.72
22.63	25.53
22.55	24.71
18.69	29.33
19.36	29.09
20.36	22.64
19.11	25.45
20.38	19.81
21.59	18.57
18.40	22.53
19.36	20.93
23.09	18.45
18.35	16.78
12.24	12.01
10.01	11.79
9.36	7.99
12.58	7.18
12.26	13.73
9.60	12.02
18.26	17.64
12.25	15.89
10.40	11.49
6.15	17.12
11.80	12.90
14.84	10.34
18.26	12.00
13.70	15.15
11.14	15.72
13.13	19.42
16.96	17.26
13.79	18.59
6.89	21.60
10.89	20.99
14.34	22.93
17.70	21.87
18.51	19.15
23.01	18.94
12.96	20.40
13.85	23.37
21.58	23.64
22.71	20.68
16.76	23.91
18.34	24.23
28.84	22.68
21.05	25.38
18.51	20.93
24.69	25.06
21.90	22.02
15.66	18.27
17.00	14.94
17.88	12.64
18.74	14.55
19.95	12.65
23.69	10.42
17.38	8.04
19.58	8.15
16.10	7.30
13.05	7.30
17.36	5.64
12.55	10.27
14.44	12.94
17.36	14.23
18.76	10.68
25.39	17.88
23.79	18.90
27.98	16.96
33.85	28.98
31.30	50.48
38.63	91.20
37.59	137.15
61.58	79.47
80.65	73.66
60.46	59.62
40.96	55.81
39.59	60.68
